Category,ID,Latitude,Longitude
shrub,429,40.05464457,-105.5861161
shrub,430,40.05452408,-105.5862975
rock,431,40.05459908,-105.5861739
rock,432,40.05449947,-105.5862735
rock,433,40.05436903,-105.5857932
shrub,434,40.05468057,-105.5858204
shrub,435,40.05358503,-105.5874149
bare,436,40.05463146,-105.5907603
bare,437,40.05464393,-105.590612
herb1,438,40.05466847,-105.5908292
herb1,439,40.05463959,-105.5908756
herb1,440,40.05460563,-105.5905377
herb1,441,40.05475643,-105.5903984
herb1,442,40.05441209,-105.5906788
herb1,443,40.05440106,-105.5904821
herb1,444,40.05442898,-105.5905697
herb1,445,40.05445109,-105.5907308
rock,446,40.05721327,-105.5900181
herb1,447,40.05705621,-105.5898185
herb1,448,40.05697562,-105.5896899
herb1,449,40.05701979,-105.5895848
herb1,450,40.05691561,-105.5896176
shrub,451,40.05698407,-105.5893675
shrub,452,40.05705605,-105.5892746
shrub,453,40.05693604,-105.5892026
shrub,454,40.05679571,-105.5892333
shrub,455,40.05677619,-105.5894181
shrub,456,40.05681312,-105.5893676
shrub,457,40.05676564,-105.589614
rock,458,40.05686591,-105.5900806
herb1,459,40.05361473,-105.5894202
rock,460,40.05366624,-105.5910132
rock,461,40.05380717,-105.5909811
shrub,462,40.05374094,-105.5905031
bare,463,40.05366216,-105.5908286
bare,464,40.05370935,-105.5906807
herb1,465,40.05371844,-105.5907959
herb1,466,40.05376226,-105.5906268
herb1,467,40.05373776,-105.5908564
rock,468,40.05453131,-105.5922779
rock,469,40.05444787,-105.5922188
rock,470,40.05447524,-105.5923282
herb2,471,40.05458561,-105.5924627
herb2,472,40.05463306,-105.5925404
herb2,473,40.0554364,-105.591384
herb2,474,40.05550727,-105.591365
herb2,475,40.05544009,-105.5916177
rock,476,40.05551245,-105.5917178
rock,477,40.05574382,-105.5922341
rock,478,40.0561909,-105.5927642
rock,479,40.05615513,-105.5929382
rock,480,40.05598384,-105.5932211
rock,481,40.0563783,-105.5928051
shrub,482,40.05720742,-105.5890222
shrub,483,40.05722128,-105.5893259
herb2,484,40.05714559,-105.5889558
herb1,485,40.05673009,-105.5891555
herb2,486,40.05661175,-105.5889706
herb2,487,40.05657221,-105.5887041
herb2,488,40.05654157,-105.5891316
herb2,489,40.05588614,-105.5900681
herb2,490,40.05575001,-105.5902882
herb1,491,40.05586821,-105.5903057
herb1,492,40.0556063,-105.5906219
herb1,493,40.05523056,-105.5895392
herb2,494,40.0552837,-105.5892914
shrub,495,40.05511671,-105.5893698
herb2,496,40.05498274,-105.5894976
herb2,497,40.0548068,-105.5897353
herb2,498,40.05490618,-105.5896098
herb1,499,40.05460031,-105.5901398
herb1,500,40.05470707,-105.5902684
herb1,501,40.05465581,-105.5903362
herb1,502,40.05478426,-105.5901301
herb1,503,40.05452276,-105.5903678
herb1,504,40.05453923,-105.590563
herb1,505,40.05434318,-105.5907468
herb2,506,40.05421235,-105.5904651
herb2,507,40.05410694,-105.5908271
herb1,508,40.05396249,-105.5909867
herb1,509,40.05428487,-105.5910732
herb1,510,40.05439255,-105.5913696
rock,511,40.05446661,-105.5916316
herb1,512,40.05452648,-105.5911112
herb2,513,40.05465052,-105.5911502
herb2,514,40.05471475,-105.5912579
herb2,515,40.05503356,-105.5914057
herb1,516,40.05480573,-105.5916541
herb2,517,40.0552326,-105.591429
herb2,518,40.05526375,-105.5909996
herb2,519,40.05536797,-105.5913372
herb2,520,40.05571183,-105.5911099
herb2,521,40.05580416,-105.591157
herb2,522,40.05555363,-105.5912129
herb1,523,40.05557717,-105.5911576
herb1,524,40.05580032,-105.5907908
